Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0134,0.2220,0.2867,0.0013,0.2251,0.1367,0.1051,0.0232
frame_0135,0.2159,0.2892,0.0026,0.2241,0.1299,0.1212,0.0172
frame_0136,0.2063,0.3007,0.0016,0.2297,0.1230,0.1168,0.0221
frame_0137,0.2180,0.2898,0.0013,0.2400,0.1157,0.1015,0.0337
frame_0138,0.2267,0.2785,0.0034,0.2456,0.1091,0.1065,0.0303
frame_0139,0.2355,0.2740,0.0024,0.2529,0.1039,0.1078,0.0235
frame_0140,0.2384,0.2756,0.0012,0.2590,0.0997,0.0943,0.0318
frame_0141,0.2289,0.2763,0.0018,0.2682,0.0934,0.1055,0.0258
frame_0142,0.2274,0.2894,0.0011,0.2682,0.0859,0.0999,0.0280
frame_0143,0.2182,0.2916,0.0018,0.2719,0.0816,0.1106,0.0243
frame_0144,0.2192,0.2929,0.0020,0.2752,0.0801,0.1057,0.0248
frame_0145,0.2221,0.2911,0.0015,0.2725,0.0765,0.1153,0.0210
frame_0146,0.2152,0.2936,0.0041,0.2746,0.0738,0.1160,0.0228
frame_0147,0.2214,0.2930,0.0053,0.2762,0.0708,0.1117,0.0216
frame_0148,0.2157,0.3029,0.0041,0.2772,0.0678,0.0990,0.0333
frame_0149,0.2259,0.3064,0.0035,0.2730,0.0651,0.1186,0.0074
frame_0150,0.2352,0.2777,0.0149,0.2707,0.0719,0.1203,0.0092
frame_0151,0.2393,0.2793,0.0066,0.2806,0.0728,0.1123,0.0091
frame_0152,0.2413,0.2798,0.0119,0.2706,0.0722,0.1135,0.0106
frame_0153,0.2273,0.2731,0.0128,0.2740,0.0762,0.1276,0.0090
frame_0154,0.2256,0.2829,0.0104,0.2735,0.0749,0.1276,0.0052
frame_0155,0.2228,0.2717,0.0113,0.2751,0.0779,0.1330,0.0083
frame_0156,0.1783,0.3093,0.0110,0.2722,0.0826,0.1390,0.0076
frame_0157,0.1954,0.2922,0.0091,0.2744,0.0792,0.1446,0.0052
frame_0158,0.1155,0.3874,0.0117,0.2759,0.0805,0.1177,0.0113
frame_0159,0.2196,0.2903,0.0059,0.2751,0.0787,0.1200,0.0104
frame_0160,0.2251,0.2893,0.0042,0.2778,0.0802,0.1134,0.0101
frame_0161,0.2352,0.2820,0.0081,0.2826,0.0768,0.0984,0.0168
frame_0162,0.2286,0.2869,0.0054,0.2791,0.0762,0.1092,0.0146
frame_0163,0.1402,0.3640,0.0068,0.2787,0.0801,0.1105,0.0198
frame_0164,0.2120,0.2909,0.0069,0.2760,0.0836,0.1114,0.0192
frame_0165,0.1929,0.3158,0.0058,0.2742,0.0848,0.0991,0.0274
frame_0166,0.2022,0.3013,0.0076,0.2758,0.0858,0.1050,0.0224
frame_0167,0.1938,0.3133,0.0056,0.2746,0.0791,0.1150,0.0185
frame_0168,0.2078,0.2910,0.0041,0.2784,0.0939,0.1116,0.0131
frame_0169,0.2140,0.2932,0.0062,0.2744,0.0935,0.1074,0.0114
frame_0170,0.2124,0.3012,0.0036,0.2735,0.0954,0.1011,0.0128
frame_0171,0.2157,0.2866,0.0048,0.2750,0.1033,0.1055,0.0091
frame_0172,0.2117,0.2844,0.0046,0.2748,0.1080,0.0994,0.0171
frame_0173,0.2075,0.2761,0.0042,0.2777,0.1105,0.0949,0.0291
frame_0174,0.2117,0.2805,0.0025,0.2765,0.1125,0.0992,0.0170
frame_0175,0.2063,0.2748,0.0037,0.2774,0.1180,0.1096,0.0102
frame_0176,0.1941,0.2744,0.0042,0.2737,0.1232,0.1108,0.0196
frame_0177,0.1936,0.2682,0.0025,0.2767,0.1279,0.1174,0.0138
frame_0178,0.1986,0.2615,0.0026,0.2738,0.1320,0.1229,0.0086
frame_0179,0.2012,0.2595,0.0028,0.2729,0.1358,0.1132,0.0146
frame_0180,0.2020,0.2517,0.0038,0.2750,0.1381,0.1157,0.0137
frame_0181,0.2058,0.2490,0.0035,0.2745,0.1404,0.1148,0.0119
frame_0182,0.2171,0.2373,0.0049,0.2776,0.1425,0.1007,0.0200
frame_0183,0.2166,0.2371,0.0030,0.2800,0.1419,0.1021,0.0193
frame_0184,0.2135,0.2330,0.0015,0.2846,0.1419,0.1146,0.0109
frame_0185,0.2167,0.2285,0.0024,0.2913,0.1399,0.1032,0.0179
frame_0186,0.2128,0.2386,0.0026,0.2881,0.1398,0.0994,0.0186
frame_0187,0.2273,0.2345,0.0024,0.2932,0.1396,0.0856,0.0174
frame_0188,0.2300,0.2342,0.0010,0.2944,0.1349,0.0911,0.0144
frame_0189,0.2427,0.2384,0.0023,0.2934,0.1330,0.0830,0.0072
frame_0190,0.2414,0.2413,0.0024,0.2960,0.1279,0.0657,0.0252
frame_0191,0.2426,0.2361,0.0042,0.2994,0.1227,0.0842,0.0108
frame_0192,0.2444,0.2408,0.0047,0.2996,0.1203,0.0822,0.0081
frame_0193,0.2403,0.2481,0.0060,0.2989,0.1172,0.0840,0.0056
frame_0194,0.2340,0.2564,0.0080,0.3011,0.1167,0.0727,0.0112
frame_0195,0.2391,0.2583,0.0091,0.2981,0.1145,0.0761,0.0048
frame_0196,0.2443,0.2526,0.0127,0.2989,0.1152,0.0707,0.0056
frame_0197,0.2409,0.2525,0.0151,0.2934,0.1144,0.0693,0.0145
frame_0198,0.2412,0.2535,0.0179,0.2925,0.1137,0.0772,0.0039
frame_0199,0.2384,0.2563,0.0142,0.2939,0.1147,0.0779,0.0047
frame_0200,0.2387,0.2600,0.0141,0.2921,0.1144,0.0763,0.0044
frame_0201,0.2317,0.2645,0.0122,0.2927,0.1105,0.0801,0.0084
frame_0202,0.2340,0.2655,0.0112,0.2890,0.1133,0.0846,0.0024
frame_0203,0.2228,0.2698,0.0149,0.2921,0.1155,0.0829,0.0021
frame_0204,0.2160,0.2678,0.0141,0.2977,0.1139,0.0853,0.0053
frame_0205,0.2157,0.2644,0.0148,0.2992,0.1118,0.0895,0.0046
frame_0206,0.2060,0.2636,0.0135,0.3033,0.1134,0.0899,0.0103
frame_0207,0.2134,0.2628,0.0111,0.3035,0.1069,0.0893,0.0130
frame_0208,0.2074,0.2679,0.0130,0.3039,0.1060,0.0963,0.0055
frame_0209,0.1972,0.2784,0.0091,0.3028,0.1039,0.1033,0.0053
frame_0210,0.1968,0.2859,0.0099,0.2994,0.1031,0.0996,0.0054
frame_0211,0.2081,0.2843,0.0054,0.2932,0.1032,0.0982,0.0076
frame_0212,0.1949,0.2987,0.0052,0.2868,0.1034,0.1019,0.0090
frame_0213,0.1963,0.3063,0.0040,0.2854,0.1059,0.0944,0.0077
frame_0214,0.1922,0.3031,0.0031,0.2786,0.1035,0.1004,0.0191
frame_0215,0.1880,0.3044,0.0037,0.2773,0.1069,0.1036,0.0161
