Frame,GreenViewIndex
frame_0454,0.1852
frame_0455,0.1829
frame_0456,0.1799
frame_0457,0.1846
frame_0458,0.1825
frame_0459,0.1785
frame_0460,0.1623
frame_0461,0.1588
frame_0462,0.1528
frame_0463,0.1484
frame_0464,0.1407
frame_0465,0.1269
frame_0466,0.1156
frame_0467,0.1100
frame_0468,0.1026
frame_0469,0.1044
frame_0470,0.1021
frame_0471,0.1029
frame_0472,0.1025
frame_0473,0.1071
frame_0474,0.1060
frame_0475,0.1079
frame_0476,0.1113
frame_0477,0.1176
frame_0478,0.1224
frame_0479,0.1278
frame_0480,0.1315
frame_0481,0.1381
frame_0482,0.1451
frame_0483,0.1512
frame_0484,0.1560
frame_0485,0.1652
frame_0486,0.1687
frame_0487,0.1777
frame_0488,0.1845
frame_0489,0.1958
frame_0490,0.2071
frame_0491,0.2190
frame_0492,0.2344
frame_0493,0.2468
frame_0494,0.2641
frame_0495,0.2887
frame_0496,0.2929
frame_0497,0.3031
frame_0498,0.3089
frame_0499,0.3120
frame_0500,0.3168
frame_0501,0.3178
frame_0502,0.3210
frame_0503,0.3249
frame_0504,0.3342
frame_0505,0.3383
frame_0506,0.3387
frame_0507,0.3445
frame_0508,0.3462
frame_0509,0.3487
frame_0510,0.3521
frame_0511,0.3535
frame_0512,0.3594
frame_0513,0.3609
frame_0514,0.3649
frame_0515,0.3637
frame_0516,0.3697
frame_0517,0.3725
frame_0518,0.3660
frame_0519,0.3646
frame_0520,0.3722
frame_0521,0.3737
frame_0522,0.3673
frame_0523,0.3706
frame_0524,0.3745
frame_0525,0.3735
frame_0526,0.3801
frame_0527,0.3837
frame_0528,0.3905
frame_0529,0.3944
frame_0530,0.4011
frame_0531,0.4046
frame_0532,0.4124
frame_0533,0.4150
frame_0534,0.4208
frame_0535,0.4177
frame_0536,0.4209
frame_0537,0.4257
frame_0538,0.4283
frame_0539,0.4264
frame_0540,0.4270
frame_0541,0.4261
frame_0542,0.4288
frame_0543,0.4281
frame_0544,0.4278
frame_0545,0.4426
frame_0546,0.4468
frame_0547,0.4484
frame_0548,0.4487
frame_0549,0.4483
frame_0550,0.4470
frame_0551,0.4413
frame_0552,0.4428
frame_0553,0.4368
frame_0554,0.4341
frame_0555,0.4340
frame_0556,0.4327
frame_0557,0.4325
frame_0558,0.4402
frame_0559,0.4444
frame_0560,0.4425
frame_0561,0.4470
frame_0562,0.4443
frame_0563,0.4444
frame_0564,0.4435
frame_0565,0.4379
frame_0566,0.4330
frame_0567,0.4221
frame_0568,0.4127
frame_0569,0.4059
frame_0570,0.4104
frame_0571,0.4229
