audio_frame_idx,start_time_sec,end_time_sec,top_class,top_score,avg_score,max_score
131,62.883207,63.363232,Speech,0.940341,0.002000,0.940341
132,63.363232,63.843256,Speech,0.958660,0.001999,0.958660
133,63.843256,64.323281,Speech,0.947015,0.001923,0.947015
134,64.323281,64.803305,Speech,0.952008,0.002018,0.952008
135,64.803305,65.283330,Speech,0.885744,0.001890,0.885744
136,65.283330,65.763354,Speech,0.977752,0.002009,0.977752
137,65.763354,66.243379,Speech,0.918793,0.001839,0.918793
138,66.243379,66.723403,Speech,0.540263,0.001580,0.540263
139,66.723403,67.203428,Speech,0.933510,0.001911,0.933510
140,67.203428,67.683452,Speech,0.838449,0.001813,0.838449
141,67.683452,68.163477,Speech,0.583717,0.001326,0.583717
142,68.163477,68.643501,Speech,0.554315,0.001232,0.554315
143,68.643501,69.123526,Speech,0.614074,0.001434,0.614074
144,69.123526,69.603550,Speech,0.976452,0.001963,0.976452
145,69.603550,70.083575,Speech,0.987023,0.002073,0.987023
146,70.083575,70.563599,Speech,0.885718,0.001868,0.885718
147,70.563599,71.043624,Speech,0.265091,0.000995,0.265091
148,71.043624,71.523648,Speech,0.865986,0.002006,0.865986
149,71.523648,72.003673,Speech,0.844588,0.001745,0.844588
150,72.003673,72.483697,Speech,0.942310,0.001959,0.942310
151,72.483697,72.963721,Speech,0.916741,0.002263,0.916741
152,72.963721,73.443746,Speech,0.971822,0.002019,0.971822
153,73.443746,73.923770,Speech,0.987664,0.002104,0.987664
154,73.923770,74.403795,Speech,0.969405,0.002091,0.969405
155,74.403795,74.883819,Speech,0.989078,0.002045,0.989078
156,74.883819,75.363844,Speech,0.574719,0.001412,0.574719
157,75.363844,75.843868,Speech,0.826682,0.002018,0.826682
158,75.843868,76.323893,Speech,0.823292,0.002179,0.823292
159,76.323893,76.803917,Speech,0.941713,0.002061,0.941713
160,76.803917,77.283942,Speech,0.972855,0.001992,0.972855
161,77.283942,77.763966,Speech,0.936167,0.002180,0.936167
162,77.763966,78.243991,Speech,0.829266,0.001818,0.829266
163,78.243991,78.724015,Speech,0.172680,0.000672,0.172680
164,78.724015,79.204040,Speech,0.848953,0.001897,0.848953
165,79.204040,79.684064,Speech,0.928610,0.002025,0.928610
166,79.684064,80.164089,Speech,0.908694,0.001906,0.908694
167,80.164089,80.644113,Speech,0.960064,0.002039,0.960064
168,80.644113,81.124138,Speech,0.922822,0.002019,0.922822
169,81.124138,81.604162,Speech,0.409468,0.000990,0.409468
170,81.604162,82.084187,Speech,0.301134,0.001006,0.301134
171,82.084187,82.564211,Speech,0.774831,0.001608,0.774831
172,82.564211,83.044236,Speech,0.278758,0.001637,0.278758
173,83.044236,83.524260,Speech,0.828026,0.001903,0.828026
174,83.524260,84.004285,Speech,0.973155,0.002257,0.973155
175,84.004285,84.484309,Speech,0.994285,0.002022,0.994285
176,84.484309,84.964334,Speech,0.994903,0.001977,0.994903
177,84.964334,85.444358,Speech,0.917823,0.002035,0.917823
178,85.444358,85.924383,Speech,0.457675,0.001899,0.457675
179,85.924383,86.404407,Dog,0.380604,0.002674,0.380604
180,86.404407,86.884432,Speech,0.789918,0.001736,0.789918
181,86.884432,87.364456,Speech,0.906811,0.002053,0.906811
182,87.364456,87.844480,Speech,0.913456,0.002010,0.913456
183,87.844480,88.324505,Speech,0.976114,0.002249,0.976114
184,88.324505,88.804529,Speech,0.853469,0.001917,0.853469
185,88.804529,89.284554,Speech,0.413901,0.003341,0.413901
186,89.284554,89.764578,Speech,0.921777,0.002110,0.921777
187,89.764578,90.244603,Speech,0.561855,0.001789,0.561855
188,90.244603,90.724627,Speech,0.742403,0.001791,0.742403
189,90.724627,91.204652,Speech,0.757146,0.001841,0.757146
190,91.204652,91.684676,Music,0.104315,0.000886,0.104315
191,91.684676,92.164701,Speech,0.296463,0.001707,0.296463
192,92.164701,92.644725,Speech,0.498705,0.001372,0.498705
193,92.644725,93.124750,Speech,0.539411,0.001398,0.539411
194,93.124750,93.604774,Speech,0.343221,0.001468,0.343221
195,93.604774,94.084799,Speech,0.495124,0.001403,0.495124
196,94.084799,94.564823,Speech,0.467869,0.001350,0.467869
197,94.564823,95.044848,Speech,0.269547,0.001301,0.269547
198,95.044848,95.524872,Sliding door,0.823735,0.005094,0.823735
199,95.524872,96.004897,Clip-clop,0.394609,0.002686,0.394609
200,96.004897,96.484921,Speech,0.773018,0.001767,0.773018
201,96.484921,96.964946,Speech,0.464670,0.001342,0.464670
202,96.964946,97.444970,Speech,0.257440,0.001503,0.257440
203,97.444970,97.924995,Speech,0.235949,0.000904,0.235949
204,97.924995,98.405019,Speech,0.343133,0.001125,0.343133
205,98.405019,98.885044,Speech,0.809731,0.001828,0.809731
206,98.885044,99.365068,Speech,0.585275,0.001498,0.585275
207,99.365068,99.845093,Speech,0.849558,0.001883,0.849558
208,99.845093,100.325117,Speech,0.826732,0.001952,0.826732
209,100.325117,100.805142,Speech,0.837738,0.002090,0.837738
210,100.805142,101.285166,Speech,0.600919,0.001741,0.600919
211,101.285166,101.765191,Speech,0.869448,0.001949,0.869448
212,101.765191,102.245215,Speech,0.652760,0.001966,0.652760
213,102.245215,102.725239,Speech,0.253286,0.001278,0.253286
214,102.725239,103.205264,Speech,0.853309,0.002033,0.853309
215,103.205264,103.685288,Speech,0.479652,0.002001,0.479652
216,103.685288,104.165313,Speech,0.711788,0.001855,0.711788
217,104.165313,104.645337,Speech,0.907831,0.001910,0.907831
218,104.645337,105.125362,Speech,0.988479,0.002029,0.988479
219,105.125362,105.605386,Speech,0.994003,0.001967,0.994003
220,105.605386,106.085411,Speech,0.851013,0.002131,0.851013
221,106.085411,106.565435,Speech,0.576562,0.001571,0.576562
222,106.565435,107.045460,Speech,0.978366,0.001937,0.978366
223,107.045460,107.525484,Speech,0.937579,0.002008,0.937579
224,107.525484,108.005509,Speech,0.661335,0.001598,0.661335
225,108.005509,108.485533,Sliding door,0.525207,0.004870,0.525207
226,108.485533,108.965558,Speech,0.292802,0.001354,0.292802
227,108.965558,109.445582,Speech,0.243758,0.001524,0.243758
228,109.445582,109.925607,Mechanisms,0.081387,0.002790,0.081387
229,109.925607,110.405631,Sliding door,0.192376,0.004196,0.192376
230,110.405631,110.885656,Sliding door,0.154147,0.002451,0.154147
231,110.885656,111.365680,Speech,0.922923,0.001947,0.922923
232,111.365680,111.845705,Speech,0.937567,0.002168,0.937567
233,111.845705,112.325729,Speech,0.966592,0.002014,0.966592
234,112.325729,112.805754,Speech,0.957295,0.002001,0.957295
235,112.805754,113.285778,Speech,0.509539,0.001513,0.509539
236,113.285778,113.765803,Speech,0.983910,0.001935,0.983910
237,113.765803,114.245827,Speech,0.863778,0.001862,0.863778
238,114.245827,114.725852,Speech,0.497925,0.001214,0.497925
239,114.725852,115.205876,Speech,0.962935,0.002044,0.962935
240,115.205876,115.685901,Speech,0.822951,0.001996,0.822951
241,115.685901,116.165925,Speech,0.872003,0.002071,0.872003
242,116.165925,116.645950,Speech,0.468105,0.001488,0.468105
243,116.645950,117.125974,Speech,0.153216,0.001678,0.153216
244,117.125974,117.605998,Vehicle,0.143107,0.003710,0.143107
245,117.605998,118.086023,Vehicle,0.162014,0.003478,0.162014
246,118.086023,118.566047,Speech,0.802910,0.002244,0.802910
247,118.566047,119.046072,Speech,0.705296,0.001858,0.705296
248,119.046072,119.526096,Speech,0.684031,0.001995,0.684031
249,119.526096,120.006121,Speech,0.901184,0.001998,0.901184
250,120.006121,120.486145,Speech,0.863757,0.001922,0.863757
251,120.486145,120.966170,Speech,0.955299,0.002420,0.955299
252,120.966170,121.446194,Speech,0.944560,0.003086,0.944560
253,121.446194,121.926219,Speech,0.926929,0.002266,0.926929
254,121.926219,122.406243,Speech,0.189499,0.003190,0.189499
255,122.406243,122.886268,"Rodents, rats, mice",0.384001,0.005048,0.384001
256,122.886268,123.366292,Speech,0.509072,0.001370,0.509072
257,123.366292,123.846317,Speech,0.783920,0.001813,0.783920
258,123.846317,124.326341,Speech,0.508371,0.001692,0.508371
259,124.326341,124.806366,Music,0.095117,0.000594,0.095117
260,124.806366,125.286390,Speech,0.883782,0.001890,0.883782
261,125.286390,125.766415,Speech,0.554084,0.001460,0.554084
262,125.766415,126.246439,Speech,0.504500,0.001187,0.504500
263,126.246439,126.726464,Speech,0.533607,0.001767,0.533607
264,126.726464,127.206488,Speech,0.672775,0.001806,0.672775
265,127.206488,127.686513,Speech,0.748702,0.001883,0.748702
266,127.686513,128.166537,Speech,0.772382,0.002065,0.772382
267,128.166537,128.646562,Speech,0.734892,0.002128,0.734892
268,128.646562,129.126586,Speech,0.856175,0.002513,0.856175
269,129.126586,129.606611,Speech,0.938486,0.002124,0.938486
270,129.606611,130.086635,Speech,0.899691,0.001971,0.899691
271,130.086635,130.566660,Speech,0.835405,0.002183,0.835405
272,130.566660,131.046684,Speech,0.883279,0.001906,0.883279
273,131.046684,131.526708,Speech,0.704232,0.001691,0.704232
274,131.526708,132.006733,Speech,0.432242,0.001014,0.432242
275,132.006733,132.486757,Speech,0.856510,0.001915,0.856510
276,132.486757,132.966782,Speech,0.867222,0.001962,0.867222
277,132.966782,133.446806,Speech,0.859218,0.001995,0.859218
278,133.446806,133.926831,Speech,0.456627,0.001628,0.456627
279,133.926831,134.406855,Speech,0.891835,0.001964,0.891835
280,134.406855,134.886880,Speech,0.983963,0.002047,0.983963
281,134.886880,135.366904,Speech,0.982339,0.002031,0.982339
282,135.366904,135.846929,Speech,0.789091,0.001647,0.789091
283,135.846929,136.326953,Speech,0.277706,0.001627,0.277706
284,136.326953,136.806978,Animal,0.116199,0.001532,0.116199
285,136.806978,137.287002,Speech,0.883147,0.001934,0.883147
286,137.287002,137.767027,Speech,0.966380,0.002057,0.966380
287,137.767027,138.247051,Speech,0.925520,0.001998,0.925520
288,138.247051,138.727076,Speech,0.962799,0.001954,0.962799
289,138.727076,139.207100,Speech,0.849579,0.001990,0.849579
290,139.207100,139.687125,Speech,0.938305,0.002076,0.938305
291,139.687125,140.167149,Speech,0.486744,0.001389,0.486744
292,140.167149,140.647174,Speech,0.547689,0.001813,0.547689
293,140.647174,141.127198,Speech,0.745351,0.001720,0.745351
294,141.127198,141.607223,Speech,0.944231,0.002009,0.944231
295,141.607223,142.087247,Speech,0.954361,0.002213,0.954361
296,142.087247,142.567272,Speech,0.927909,0.002650,0.927909
297,142.567272,143.047296,Speech,0.864918,0.002208,0.864918
298,143.047296,143.527321,Speech,0.500240,0.002076,0.500240
299,143.527321,144.007345,Speech,0.612353,0.001683,0.612353
300,144.007345,144.487370,Speech,0.909555,0.001871,0.909555
301,144.487370,144.967394,Speech,0.687302,0.001543,0.687302
302,144.967394,145.447419,Speech,0.244561,0.001174,0.244561
303,145.447419,145.927443,Speech,0.406995,0.001305,0.406995
304,145.927443,146.407467,Speech,0.818797,0.002025,0.818797
305,146.407467,146.887492,Speech,0.648946,0.002446,0.648946
306,146.887492,147.367516,Speech,0.915705,0.001898,0.915705
307,147.367516,147.847541,Speech,0.596796,0.002159,0.596796
308,147.847541,148.327565,Speech,0.232800,0.001251,0.232800
309,148.327565,148.807590,Speech,0.799458,0.001777,0.799458
310,148.807590,149.287614,Speech,0.700894,0.001994,0.700894
311,149.287614,149.767639,Speech,0.733937,0.002164,0.733937
312,149.767639,150.247663,Speech,0.921764,0.002018,0.921764
313,150.247663,150.727688,Speech,0.935884,0.002892,0.935884
314,150.727688,151.207712,Speech,0.918757,0.002921,0.918757
315,151.207712,151.687737,Speech,0.211499,0.001494,0.211499
316,151.687737,152.167761,Speech,0.763988,0.001946,0.763988
317,152.167761,152.647786,Speech,0.920987,0.002654,0.920987
318,152.647786,153.127810,Speech,0.692215,0.001794,0.692215
319,153.127810,153.607835,Speech,0.856354,0.002111,0.856354
320,153.607835,154.087859,Speech,0.995777,0.002075,0.995777
321,154.087859,154.567884,Speech,0.955823,0.002092,0.955823
322,154.567884,155.047908,Speech,0.950916,0.002118,0.950916
323,155.047908,155.527933,Speech,0.982547,0.002039,0.982547
324,155.527933,156.007957,Speech,0.982100,0.002456,0.982100
325,156.007957,156.487982,Speech,0.889813,0.002310,0.889813
326,156.487982,156.968006,Speech,0.414539,0.002204,0.414539
327,156.968006,157.448031,Speech,0.809498,0.002023,0.809498
328,157.448031,157.928055,Speech,0.096381,0.000990,0.096381
329,157.928055,158.408080,Speech,0.229540,0.001008,0.229540
330,158.408080,158.888104,Speech,0.622652,0.002302,0.622652
331,158.888104,159.368129,Speech,0.199900,0.001182,0.199900
332,159.368129,159.848153,Speech,0.642564,0.001855,0.642564
333,159.848153,160.328178,Speech,0.924227,0.002194,0.924227
334,160.328178,160.808202,Speech,0.958909,0.002111,0.958909
335,160.808202,161.288226,Speech,0.897822,0.002132,0.897822
336,161.288226,161.768251,Speech,0.938612,0.002062,0.938612
337,161.768251,162.248275,Speech,0.949924,0.002064,0.949924
338,162.248275,162.728300,Speech,0.870795,0.001914,0.870795
339,162.728300,163.208324,Speech,0.901736,0.002322,0.901736
340,163.208324,163.688349,Speech,0.966214,0.002026,0.966214
341,163.688349,164.168373,Speech,0.971871,0.002175,0.971871
342,164.168373,164.648398,Speech,0.680932,0.001885,0.680932
343,164.648398,165.128422,Bus,0.471967,0.002354,0.471967
344,165.128422,165.608447,Speech,0.984527,0.002027,0.984527
345,165.608447,166.088471,Speech,0.966433,0.002181,0.966433
346,166.088471,166.568496,Speech,0.984035,0.002180,0.984035
347,166.568496,167.048520,Speech,0.969855,0.002074,0.969855
348,167.048520,167.528545,Speech,0.986655,0.002135,0.986655
349,167.528545,168.008569,Speech,0.943358,0.002200,0.943358
350,168.008569,168.488594,Speech,0.962450,0.002188,0.962450
351,168.488594,168.968618,Speech,0.729855,0.002124,0.729855
352,168.968618,169.448643,Speech,0.956224,0.002159,0.956224
353,169.448643,169.928667,Speech,0.966835,0.002097,0.966835
354,169.928667,170.408692,Speech,0.767075,0.001932,0.767075
355,170.408692,170.888716,Speech,0.969635,0.002144,0.969635
356,170.888716,171.368741,Speech,0.814960,0.002400,0.814960
357,171.368741,171.848765,Speech,0.640394,0.002286,0.640394
358,171.848765,172.328790,Speech,0.966465,0.002084,0.966465
359,172.328790,172.808814,Speech,0.967404,0.001976,0.967404
360,172.808814,173.288839,Speech,0.893855,0.001919,0.893855
361,173.288839,173.768863,Speech,0.441613,0.001524,0.441613
362,173.768863,174.248888,Speech,0.862068,0.002019,0.862068
363,174.248888,174.728912,Speech,0.883428,0.001868,0.883428
364,174.728912,175.208936,Speech,0.758493,0.001817,0.758493
365,175.208936,175.688961,Speech,0.901104,0.002055,0.901104
366,175.688961,176.168985,Speech,0.829946,0.001937,0.829946
367,176.168985,176.649010,Speech,0.236908,0.001571,0.236908
368,176.649010,177.129034,Vehicle,0.633037,0.003098,0.633037
369,177.129034,177.609059,Vehicle,0.196970,0.001526,0.196970
370,177.609059,178.089083,Speech,0.206752,0.002448,0.206752
371,178.089083,178.569108,Vehicle,0.177128,0.003106,0.177128
372,178.569108,179.049132,Vehicle,0.159322,0.002128,0.159322
373,179.049132,179.529157,Vehicle,0.197315,0.002898,0.197315
374,179.529157,180.009181,Speech,0.149874,0.001045,0.149874
375,180.009181,180.489206,Speech,0.836699,0.001930,0.836699
376,180.489206,180.969230,Speech,0.950337,0.002074,0.950337
377,180.969230,181.449255,Speech,0.835000,0.002016,0.835000
